"id","attrition_flag","customer_age","gender","education_level","income_category","total_relationship_count","months_inactive_12_mon","credit_limit","total_revolving_bal","total_amt_chng_q4_q1","total_trans_amt","total_trans_ct","total_ct_chng_q4_q1","avg_utilization_ratio"
6217,0,49,"M","Unknown","$60K - $80K",6,1,22651,1085,0.81,3915,72,0.674,0.048
3692,0,33,"F","High School","Unknown",3,2,2279,1432,0.855,4169,74,0.947,0.628
6163,0,47,"F","Doctorate","Less than $40K",4,3,2193,1084,0.974,4755,81,0.761,0.494
4604,0,51,"F","Unknown","Less than $40K",3,2,5139,1799,0.94,7548,89,0.618,0.35
1111,0,43,"F","Graduate","$40K - $60K",2,3,4287,0,0.807,4874,82,0.708,0
7669,0,43,"F","High School","Less than $40K",1,1,1820,0,0.708,7714,91,0.596,0
9941,1,42,"F","College","$40K - $60K",3,3,4139,0,0.547,2232,41,0.464,0
5847,0,46,"F","Unknown","Less than $40K",5,2,1438.3,0,0.691,3942,78,1.229,0
8505,0,44,"F","Unknown","$40K - $60K",4,3,7277,0,0.758,4458,71,0.578,0
6839,0,47,"M","Uneducated","$80K - $120K",5,2,17682,2481,1.302,1747,31,1.214,0.14
699,0,26,"M","Graduate","Unknown",4,1,1438.3,0,0.472,2005,47,0.469,0
5511,0,51,"F","Unknown","Less than $40K",6,4,3049,1151,0.533,4027,76,0.52,0.378
6443,0,51,"F","Uneducated","Less than $40K",6,2,2124,1426,0.966,3210,52,0.733,0.671
4209,0,53,"F","Graduate","Unknown",6,1,1882,0,0.8,5221,87,0.891,0
2728,0,40,"F","Graduate","Less than $40K",1,1,2019,803,0.882,8426,102,0.478,0.398
5107,0,56,"M","Unknown","$40K - $60K",6,2,1813,1387,0.406,1468,32,0.231,0.765
9526,0,58,"F","College","Less than $40K",6,4,2212,1902,0.691,4976,79,0.975,0.86
3826,0,47,"F","Graduate","Less than $40K",4,2,5062,1423,0.775,4535,68,0.417,0.281
4154,0,43,"M","College","$60K - $80K",3,3,13840,1079,0.947,4190,74,0.805,0.078
7792,0,46,"F","High School","Less than $40K",4,3,1870,1785,0.696,4347,88,0.76,0.955
8835,1,47,"F","Uneducated","Unknown",5,4,3502,0,0.531,1895,42,0.4,0
6757,1,44,"M","Uneducated","$80K - $120K",2,3,34516,569,0.919,8570,68,0.789,0.016
5365,1,37,"M","High School","Less than $40K",3,3,6866,2389,0.395,862,13,0.182,0.348
5083,0,40,"M","Unknown","$80K - $120K",6,2,5014,1887,0.806,4391,66,0.571,0.376
7585,0,50,"F","Unknown","$40K - $60K",5,3,12740,1173,1.04,3441,55,0.719,0.092
5173,0,40,"M","Graduate","$80K - $120K",3,3,2165,1465,0.622,3672,64,0.73,0.677
5413,0,43,"M","Graduate","$60K - $80K",5,3,7534,0,0.587,4685,79,0.975,0
9957,0,50,"F","Graduate","Less than $40K",4,3,1438.3,1002,1.306,2004,25,0.667,0.697
1136,0,39,"F","Graduate","Less than $40K",3,1,5494,1356,0.463,3566,81,0.884,0.247
9153,1,35,"M","Graduate","$80K - $120K",6,3,12634,0,0.323,717,18,0.286,0
2838,0,58,"F","Uneducated","$40K - $60K",6,2,2019,1380,1.158,2005,62,0.59,0.684
2952,0,41,"M","Uneducated","$80K - $120K",4,3,4119,1656,0.561,1455,35,0.667,0.402
9605,1,48,"F","Graduate","Less than $40K",3,3,1942,860,0.708,2522,42,0.312,0.443
3517,0,47,"M","Graduate","$120K +",1,3,34516,1161,0.74,8212,100,0.695,0.034
5962,0,31,"M","Graduate","$60K - $80K",6,2,4232,2092,0.604,2565,69,0.865,0.494
9987,0,40,"F","Unknown","Less than $40K",4,1,2712,0,0.835,5207,79,0.927,0
3100,0,47,"F","Uneducated","Unknown",3,1,32444,1843,1.127,3725,60,0.622,0.057
296,0,53,"M","Unknown","$120K +",6,2,3386,1984,0.573,1318,37,0.194,0.586
8767,0,38,"F","High School","$40K - $60K",2,2,23981,0,0.741,7872,103,0.635,0
9944,0,62,"M","Uneducated","$60K - $80K",6,3,9521,1669,1.308,2444,63,0.4,0.175
9733,0,51,"F","Doctorate","Less than $40K",5,3,1438.3,908,0.615,4653,74,0.897,0.631
6867,0,37,"F","Graduate","Unknown",4,2,3642,610,0.676,2790,68,0.581,0.167
7703,0,57,"F","Graduate","$40K - $60K",4,2,3301,2517,0.842,3939,69,1.226,0.762
6498,0,56,"M","Graduate","$120K +",3,3,5270,779,0.731,16179,105,0.694,0.148
1223,0,51,"M","Graduate","$120K +",4,2,18733,1292,0.442,5080,85,0.491,0.069
2304,0,60,"M","Doctorate","$40K - $60K",4,2,16541,1428,0.846,4352,82,0.907,0.086
2216,0,42,"F","Unknown","Unknown",5,3,2369,1019,0.691,4317,66,0.784,0.43
1515,0,45,"F","Uneducated","Unknown",1,2,7600,1574,0.605,4240,67,0.396,0.207
4743,1,31,"F","Graduate","Less than $40K",4,2,4598,0,0.439,6317,77,0.833,0
3257,0,46,"M","College","$40K - $60K",1,3,3914,1683,0.636,4242,64,0.73,0.43
5767,0,49,"M","Unknown","$120K +",5,2,21620,2008,0.691,1300,33,0.5,0.093
8410,1,52,"F","Graduate","Unknown",2,3,3608,2517,1.057,4907,53,0.559,0.698
8620,0,39,"M","Graduate","$60K - $80K",6,3,1982,1751,0.843,4313,62,0.676,0.883
5208,0,51,"F","Uneducated","Less than $40K",5,4,1562,1057,0.807,5019,78,0.696,0.677
9341,0,60,"M","High School","Less than $40K",2,2,13399,1456,0.856,16493,122,0.649,0.109
5937,0,35,"F","Graduate","$40K - $60K",4,3,3454,1603,1.078,1575,41,0.519,0.464
6665,1,45,"F","Uneducated","Less than $40K",3,2,8924,0,0.547,1720,42,0.4,0
5090,0,45,"M","High School","$80K - $120K",5,2,9852,2277,0.831,3813,71,0.614,0.231
4092,0,43,"M","Graduate","$60K - $80K",5,3,19188,0,0.453,4366,69,0.816,0
7755,0,37,"F","Uneducated","Less than $40K",6,3,2388,1708,0.903,4539,89,0.745,0.715
7559,0,38,"M","Uneducated","$40K - $60K",3,3,3523,1379,0.71,15108,118,0.71,0.391
1804,0,50,"F","Uneducated","Less than $40K",2,2,1596,1185,0.687,5235,76,1,0.742
6072,0,48,"F","Uneducated","$40K - $60K",2,3,3072,1734,0.754,4540,78,0.857,0.564
3386,0,64,"F","Uneducated","Unknown",6,1,3250,1992,0.715,1355,36,0.565,0.613
9903,0,47,"F","High School","Less than $40K",4,2,2262,0,0.806,4113,83,0.627,0
6696,0,51,"M","High School","$80K - $120K",6,1,14438,2517,0.853,2090,47,0.88,0.174
1814,1,40,"M","Doctorate","$40K - $60K",3,3,2313,0,0.673,2249,42,0.312,0
8570,0,38,"F","High School","Less than $40K",3,3,2450,1981,0.712,4352,66,0.784,0.809
133,0,54,"F","Unknown","$40K - $60K",6,3,5632,1596,0.951,3557,64,1.065,0.283
7115,0,57,"F","Uneducated","Less than $40K",5,3,3545,1446,0.638,3691,69,0.917,0.408
2722,0,50,"F","Unknown","Unknown",4,2,3604,0,0.934,4051,65,0.667,0
6862,0,50,"M","Doctorate","$60K - $80K",3,5,19939,0,1.03,3342,76,0.462,0
6322,1,55,"F","Graduate","Less than $40K",6,3,12207,0,0.319,5838,74,1.056,0
2948,0,50,"F","Graduate","Unknown",5,2,5708,1884,0.791,4914,60,0.765,0.33
3619,0,65,"F","Uneducated","Less than $40K",5,1,11097,0,0.648,4836,83,0.566,0
7912,0,43,"F","Graduate","Less than $40K",4,3,2422,1237,0.925,5079,80,0.818,0.511
8109,1,49,"M","College","$40K - $60K",2,2,1438.3,0,0.734,815,21,0.615,0
3069,0,39,"F","Graduate","Less than $40K",6,3,6458,1802,0.923,2315,49,0.581,0.279
5301,0,35,"F","Uneducated","Less than $40K",3,1,2664,0,1.071,3135,59,0.903,0
6407,0,48,"M","High School","$40K - $60K",3,2,7400,636,0.972,1568,51,0.5,0.086
5066,0,45,"M","Unknown","$80K - $120K",6,3,12918,1345,1.061,1562,33,1.2,0.104
6456,0,55,"M","High School","$60K - $80K",4,1,2001,1553,0.482,1910,51,0.7,0.776
7086,0,44,"F","College","Unknown",4,3,5589,1336,0.944,4262,75,1.027,0.239
2654,0,50,"M","Doctorate","$120K +",2,3,34516,2517,0.778,8087,86,0.509,0.073
7260,0,54,"F","Doctorate","Unknown",2,2,1900,1376,0.89,1881,45,0.607,0.724
9068,1,65,"F","High School","Unknown",3,6,5894,477,1.015,1616,32,0.455,0.081
5547,0,59,"M","Uneducated","Less than $40K",6,1,3939,2517,0.376,1489,34,0.545,0.639
4128,0,46,"M","College","$40K - $60K",3,2,18956,1694,0.702,8032,88,0.66,0.089
9509,0,49,"M","Doctorate","$120K +",6,1,9364,618,0.554,1099,27,0.8,0.066
2261,0,53,"M","High School","$80K - $120K",6,3,18531,1548,0.833,2484,52,0.857,0.084
2369,1,51,"F","Unknown","$40K - $60K",2,3,2710,0,0.999,4724,60,0.395,0
6242,1,48,"F","Graduate","Less than $40K",5,3,15987,0,0.827,7681,71,0.69,0
1670,0,39,"M","Uneducated","$80K - $120K",2,2,2844,2065,0.638,7345,73,0.738,0.726
8042,0,42,"M","Unknown","$40K - $60K",4,3,6698,1327,0.798,4065,77,0.711,0.198
7783,1,48,"M","Uneducated","$120K +",5,2,34516,787,0.763,1312,32,0.6,0.023
837,0,32,"F","High School","Unknown",3,2,3413,2517,0.984,4355,71,0.919,0.737
9904,0,49,"F","Uneducated","Less than $40K",6,2,2331,1798,0.847,4061,66,0.692,0.771
2863,0,63,"F","High School","Less than $40K",6,1,3055,1685,0.541,1405,40,0.481,0.552
2801,0,54,"F","High School","Unknown",5,3,7563,1465,0.511,4175,67,0.718,0.194
8591,0,39,"F","Unknown","Less than $40K",3,1,3251,1937,0.685,4284,85,0.809,0.596
1289,1,45,"F","Uneducated","Less than $40K",3,4,4908,0,0.993,827,21,0.75,0
867,0,48,"F","Graduate","Less than $40K",6,2,2423,1773,0.574,2038,64,0.362,0.732
1619,0,49,"F","Unknown","Unknown",6,3,2874,0,0.676,4617,89,0.78,0
9847,0,46,"F","Uneducated","$40K - $60K",3,2,7020,1784,0.815,16937,116,0.731,0.254
7827,1,46,"M","Post-Graduate","$60K - $80K",5,2,8766,0,0.702,2263,35,0.522,0
2784,1,54,"F","High School","$40K - $60K",3,3,1438.3,0,0.641,2092,42,0.68,0
6845,0,45,"F","Graduate","Less than $40K",4,1,1438.3,877,0.743,4283,76,0.617,0.61
4805,0,45,"M","Uneducated","$80K - $120K",1,4,20356,2031,0.752,15180,121,0.806,0.1
9954,1,50,"F","Post-Graduate","$40K - $60K",1,3,1493,932,0.466,1554,43,0.344,0.624
9469,0,53,"M","High School","$80K - $120K",3,3,9355,715,0.422,1138,38,0.727,0.076
9039,0,50,"M","Unknown","$120K +",5,1,9697,0,0.759,1812,50,0.923,0
1015,0,47,"M","Uneducated","$80K - $120K",3,2,34516,1264,0.774,7827,77,0.54,0.037
2272,0,61,"F","Uneducated","Less than $40K",3,2,6859,2489,0.65,1617,26,1,0.363
9190,0,61,"F","Graduate","Less than $40K",4,2,2250,1041,0.678,1339,28,0.867,0.463
10098,0,40,"M","Graduate","$60K - $80K",3,2,8529,901,0.764,4252,68,0.511,0.106
1890,0,47,"M","Uneducated","$60K - $80K",3,3,17656,0,0.727,4633,71,0.868,0
5650,1,50,"F","Graduate","Less than $40K",5,2,1438.3,0,0.658,2329,43,0.593,0
9739,0,41,"F","Uneducated","Unknown",2,5,5877,1713,0.791,15106,91,0.978,0.291
9524,1,53,"F","Doctorate","Unknown",3,3,1790,1474,0.595,2128,40,0.429,0.823
9230,0,39,"F","High School","Less than $40K",2,2,3600,2072,0.94,14137,116,0.966,0.576
584,0,65,"M","Unknown","$40K - $60K",6,2,9095,1587,1.433,1314,26,1.364,0.174
482,0,63,"F","Unknown","Less than $40K",5,3,3558,2318,1.265,1631,31,0.824,0.651
796,0,45,"F","Graduate","$40K - $60K",4,4,4244,1066,0.606,4016,89,0.854,0.251
2290,1,51,"F","High School","Unknown",3,3,9701,0,1.024,9404,62,0.824,0
2440,0,26,"M","Graduate","$60K - $80K",3,3,7102,0,0.537,2411,41,0.281,0
6139,0,53,"M","Graduate","$80K - $120K",5,3,5272,1515,0.857,1289,33,0.435,0.287
1887,0,44,"M","Unknown","$60K - $80K",5,1,7872,2509,0.971,1155,32,0.882,0.319
3769,0,49,"F","College","Unknown",4,4,23032,1960,0.619,1289,22,1,0.085
6873,0,57,"M","Uneducated","$40K - $60K",6,2,2601,0,0.814,1232,32,0.684,0
5379,0,43,"M","Graduate","$80K - $120K",2,2,34427,1613,0.704,13545,112,0.672,0.047
6831,0,45,"F","High School","Less than $40K",1,2,1457,828,0.852,5401,93,0.661,0.568
4976,0,59,"M","High School","$40K - $60K",6,2,5446,1885,0.643,1505,33,0.32,0.346
9235,0,57,"M","Graduate","$40K - $60K",4,2,5387,2047,0.579,1546,36,0.5,0.38
8792,0,42,"F","Unknown","$40K - $60K",4,3,1786,1316,0.704,4306,73,1.086,0.737
307,0,51,"M","Uneducated","$80K - $120K",6,2,25197,2517,0.721,3002,58,0.812,0.1
6244,0,50,"M","Graduate","$120K +",4,2,34516,1185,0.725,3874,72,0.714,0.034
10075,0,52,"M","Graduate","$60K - $80K",3,3,8185,941,0.874,4525,77,0.604,0.115
3245,0,34,"F","High School","Less than $40K",4,3,2707,2036,0.827,1926,33,0.941,0.752
2582,0,50,"F","Uneducated","Less than $40K",3,4,3749,1594,0.738,7990,89,0.534,0.425
9777,0,45,"F","Graduate","Less than $40K",5,1,1927,1337,0.667,5127,81,0.653,0.694
1573,0,50,"M","High School","$40K - $60K",5,3,5530,2034,0.647,4836,68,0.744,0.368
5275,0,40,"F","Doctorate","Less than $40K",1,1,4660,1844,1.018,8571,84,0.647,0.396
5380,0,36,"M","Graduate","Less than $40K",2,2,3920,0,0.813,16500,102,0.729,0
686,1,53,"M","Uneducated","$80K - $120K",3,3,11561,2189,0.742,2153,39,0.5,0.189
5507,0,40,"M","Uneducated","$80K - $120K",4,3,11721,1175,0.779,4187,73,0.825,0.1
9482,0,32,"F","Graduate","Less than $40K",3,1,5497,1735,0.664,16266,124,0.771,0.316
6214,0,50,"F","High School","$40K - $60K",2,3,4154,1060,0.544,4325,86,0.72,0.255
8790,0,51,"M","Graduate","$60K - $80K",6,3,10824,0,0.962,3700,73,0.738,0
9444,0,46,"M","High School","$120K +",5,2,34516,1024,0.72,2436,71,0.651,0.03
7539,0,35,"F","Graduate","Less than $40K",6,3,2118,1189,1.158,4541,60,0.818,0.561
3222,0,39,"F","Graduate","$40K - $60K",2,3,3394,2517,0.689,5421,75,0.829,0.742
5018,0,48,"M","College","$80K - $120K",6,1,5033,0,0.597,4054,82,0.822,0
4349,0,48,"M","High School","$80K - $120K",5,1,6798,2517,0.873,4327,79,0.881,0.37
6047,0,46,"F","Unknown","$40K - $60K",6,4,1912,1172,0.827,4841,81,0.884,0.613
140,0,57,"M","High School","$120K +",4,4,9272,982,0.651,4649,89,0.816,0.106
9384,0,41,"M","High School","Less than $40K",3,2,1614,700,0.842,4293,87,0.812,0.434
9793,0,41,"M","Unknown","$120K +",2,4,34516,638,0.724,13085,139,0.675,0.018
7605,0,58,"M","Graduate","$60K - $80K",3,2,14607,1480,0.346,1393,38,0.462,0.101
5814,0,54,"F","Unknown","Less than $40K",3,2,2341,1550,0.656,3406,57,1.478,0.662
2040,0,34,"F","Graduate","Unknown",6,3,3095,2010,0.668,3901,77,0.711,0.649
7459,0,49,"M","College","$40K - $60K",3,2,1922,710,0.951,2920,46,1.421,0.369
4203,0,37,"F","Graduate","Less than $40K",3,3,3727,995,0.743,14786,101,0.656,0.267
2780,1,58,"F","High School","Less than $40K",3,2,7418,396,0.826,911,26,1,0.053
8222,0,42,"F","High School","Less than $40K",2,3,15987,1187,0.597,7471,88,0.467,0.074
2409,0,42,"F","Uneducated","Less than $40K",4,1,1538,868,0.828,5228,61,0.694,0.564
5444,0,48,"F","Graduate","Less than $40K",6,2,1449,749,0.943,4039,50,0.852,0.517
4211,0,54,"F","Unknown","Less than $40K",3,2,2720,1694,0.843,5103,81,0.761,0.623
2295,0,52,"F","Graduate","Less than $40K",4,1,8431,1862,0.59,2008,37,0.682,0.221
3603,0,50,"M","Graduate","$60K - $80K",5,3,4772,1770,0.545,4054,72,0.674,0.371
9783,0,38,"F","High School","Less than $40K",3,3,1939,1484,0.576,4790,77,0.75,0.765
6204,0,45,"F","Unknown","Less than $40K",5,1,7924,1896,1.161,3270,58,0.933,0.239
1451,0,50,"M","Uneducated","$120K +",5,3,27876,557,0.768,4654,88,0.66,0.02
4346,0,33,"M","Graduate","$60K - $80K",3,3,1963,1721,0.68,1378,37,0.762,0.877
3215,0,65,"M","Doctorate","$40K - $60K",5,2,1456,867,0.725,3953,69,0.725,0.595
1724,0,32,"M","Graduate","$40K - $60K",2,1,7473,1253,0.98,13400,104,0.733,0.168
6649,0,45,"F","Doctorate","Less than $40K",4,2,1438.3,491,0.708,4376,84,0.787,0.341
4342,0,45,"F","Graduate","Less than $40K",4,3,8121,1595,0.743,1914,45,0.5,0.196
229,0,38,"M","High School","$60K - $80K",5,4,5824,1542,0.827,1801,44,0.571,0.265
4207,0,33,"F","College","Unknown",3,1,34516,1540,1.038,2574,72,0.756,0.045
4069,0,40,"F","Unknown","Unknown",5,5,14999,1123,0.539,3441,69,0.468,0.075
9219,0,54,"F","College","Less than $40K",3,1,2440,1083,0.907,3017,53,0.71,0.444
710,0,50,"F","Graduate","Unknown",6,2,15641,2379,0.816,3769,76,0.617,0.152
3952,0,59,"M","College","$60K - $80K",4,1,7871,1687,1.242,1428,22,1.444,0.214
456,1,41,"M","Graduate","$60K - $80K",3,2,2238,0,0.452,2063,42,0.5,0
8237,0,47,"F","Doctorate","Unknown",4,1,26923,2461,0.602,13643,94,0.918,0.091
2071,0,54,"F","Unknown","Less than $40K",6,2,3796,2396,0.569,2069,54,0.742,0.631
5277,0,41,"M","High School","$80K - $120K",6,1,34516,1202,0.603,1353,33,0.737,0.035
5415,0,44,"F","Doctorate","Less than $40K",5,2,2718,1718,0.679,4423,68,0.619,0.632
1202,0,59,"F","Post-Graduate","Less than $40K",4,2,3030,1251,0.694,4724,71,0.775,0.413
5905,0,37,"F","College","Less than $40K",1,1,1438.3,0,0.587,3948,84,0.68,0
6674,0,45,"F","Doctorate","$40K - $60K",2,1,1438.3,0,0.712,4462,77,0.638,0
9438,0,40,"M","Uneducated","$80K - $120K",5,2,9109,1347,0.695,3991,84,0.867,0.148
787,0,53,"F","Graduate","Less than $40K",6,3,4430,1579,0.836,4833,82,0.673,0.356
7032,0,50,"F","High School","Unknown",2,3,10748,1084,0.868,16541,126,0.68,0.101
4126,1,36,"M","Unknown","$80K - $120K",4,1,1815,0,0.478,2039,34,0.36,0
6843,0,44,"M","Uneducated","$60K - $80K",6,3,3650,1270,0.792,4250,81,0.929,0.348
7064,0,33,"M","High School","$120K +",6,3,27499,1188,0.544,2202,46,0.394,0.043
3827,0,40,"F","College","Less than $40K",3,1,2972,0,0.593,3840,69,0.769,0
1404,0,40,"M","High School","$80K - $120K",4,3,29923,0,0.937,2528,52,0.793,0
7467,1,41,"M","Graduate","$80K - $120K",3,2,34516,825,0.616,2022,52,0.733,0.024
10,1,29,"M","High School","$60K - $80K",6,1,17744,829,0.851,9658,78,0.773,0.047
1296,0,48,"M","Unknown","$120K +",3,2,34516,2098,0.741,3093,66,0.784,0.061
1697,0,41,"M","High School","$60K - $80K",3,2,4573,0,0.703,3776,70,0.944,0
5490,1,52,"M","High School","$80K - $120K",4,3,11617,2517,0.457,1643,43,0.483,0.217
3499,0,42,"F","Uneducated","Unknown",3,2,1840,1267,0.605,4515,76,0.49,0.689
3274,0,37,"M","High School","$40K - $60K",3,2,2608,1799,0.732,2565,72,0.636,0.69
5268,0,48,"F","Graduate","Unknown",5,3,5239,1172,0.825,4241,61,0.968,0.224
7289,0,48,"M","Graduate","$40K - $60K",5,1,13068,1718,0.607,937,28,0.556,0.131
3856,0,59,"F","College","Less than $40K",6,5,4072,0,0.464,1966,43,1.15,0
1323,0,41,"M","High School","$80K - $120K",4,1,9366,1104,0.572,1303,39,0.625,0.118
3220,1,40,"M","Unknown","$80K - $120K",1,3,23502,0,0.839,7957,60,0.875,0
2160,0,56,"F","College","Unknown",6,1,1816,1052,0.547,4175,65,0.667,0.579
4781,0,38,"M","High School","$60K - $80K",5,4,1503,879,0.776,4439,77,0.604,0.585
9611,0,43,"F","Graduate","Less than $40K",6,2,2725,2517,0.482,4430,66,0.692,0.924
2877,0,47,"F","High School","Unknown",3,2,2950,1642,0.8,4740,83,0.694,0.557
2754,0,51,"F","High School","Less than $40K",6,3,2902,1634,0.588,4748,74,0.51,0.563
1458,0,49,"F","Unknown","Less than $40K",5,2,5714,868,0.636,4331,85,0.7,0.152
4301,0,46,"F","College","Less than $40K",3,3,8881,1865,1.279,2632,54,1.077,0.21
4338,1,53,"F","College","Unknown",2,2,10195,0,0.629,2489,54,0.385,0
7397,0,50,"F","High School","Less than $40K",5,2,10062,1149,0.76,1964,44,0.467,0.114
123,0,58,"F","Graduate","Less than $40K",4,2,5031,1327,0.553,1433,34,0.889,0.264
10079,0,58,"F","Graduate","Unknown",2,3,9926,2216,0.524,4937,73,0.553,0.223
2743,0,46,"M","College","$80K - $120K",2,1,34516,1954,0.755,7594,69,0.725,0.057
4080,0,37,"M","High School","$40K - $60K",6,2,11699,1758,0.869,2007,46,1,0.15
8261,0,35,"F","Uneducated","Unknown",4,3,34516,0,0.682,2562,62,0.722,0
8481,0,43,"M","High School","$40K - $60K",6,3,4112,768,0.413,1334,40,0.429,0.187
171,0,39,"F","Unknown","$40K - $60K",2,3,2725,2302,0.876,4714,81,0.8,0.845
5331,0,52,"M","Uneducated","$80K - $120K",4,1,4555,0,1.031,3646,66,1.2,0
2672,0,44,"F","Uneducated","$40K - $60K",1,3,3657,0,0.785,14802,95,0.667,0
1060,0,41,"F","Graduate","Less than $40K",2,3,7531,1692,0.771,7768,92,0.878,0.225
6320,0,43,"M","High School","$60K - $80K",4,3,7189,1550,0.538,1935,52,0.368,0.216
1352,0,44,"M","Unknown","$60K - $80K",4,1,10007,1586,0.921,4309,77,0.711,0.158
4035,0,45,"F","Uneducated","Less than $40K",6,2,2202,1414,0.593,4531,77,0.54,0.642
454,0,40,"F","Post-Graduate","Unknown",5,3,8823,0,0.812,4453,84,0.787,0
928,0,38,"F","High School","Less than $40K",6,1,2096,1567,0.778,1559,49,1.042,0.748
7520,0,44,"M","High School","$120K +",3,1,34516,2517,0.814,7427,83,0.566,0.073
2976,0,43,"M","Graduate","$40K - $60K",4,2,1438.3,0,0.643,4509,80,0.569,0
1285,0,60,"M","High School","$40K - $60K",5,3,5420,0,0.81,3477,60,0.622,0
5388,0,44,"M","Graduate","$60K - $80K",1,2,3384,799,0.737,13152,100,0.754,0.236
7987,1,56,"F","Unknown","Less than $40K",2,4,4746,0,0.862,7154,66,1.062,0
2997,0,41,"M","High School","$40K - $60K",6,2,1438.3,0,0.56,4439,81,1.025,0
5798,0,39,"M","Graduate","$120K +",4,2,16199,0,0.771,4254,82,0.673,0
1501,0,39,"M","Unknown","$60K - $80K",5,2,3071,2517,0.583,1765,36,0.565,0.82
9380,0,41,"F","Uneducated","Less than $40K",3,5,1438.3,1055,0.809,4532,78,0.472,0.734
1123,0,45,"M","Graduate","$60K - $80K",2,3,28564,2517,0.711,14875,107,0.783,0.088
4223,0,50,"M","Uneducated","$80K - $120K",6,3,14817,1463,0.795,4014,70,0.628,0.099
7557,0,41,"F","Uneducated","Less than $40K",4,3,3189,0,0.91,4813,86,0.755,0
4539,0,46,"M","College","$60K - $80K",5,3,2369,1405,0.624,3034,51,0.889,0.593
3447,0,55,"F","Uneducated","$40K - $60K",3,2,2697,1863,0.735,4615,81,0.688,0.691
1316,0,26,"M","College","$60K - $80K",5,1,8267,1720,0.633,1917,37,0.48,0.208
5588,0,44,"F","Graduate","Unknown",5,2,24936,2053,0.716,1810,38,0.727,0.082
6905,0,41,"F","High School","$40K - $60K",2,1,19281,1805,0.893,15423,110,0.692,0.094
10107,0,33,"F","College","Less than $40K",1,3,1438.3,0,0.566,4641,85,0.7,0
961,0,49,"F","Graduate","Less than $40K",3,3,4364,1507,1.05,1392,38,1.375,0.345
1962,1,46,"F","Unknown","$40K - $60K",5,3,3001,0,0.74,2577,39,0.444,0
9583,0,43,"F","Graduate","Less than $40K",2,3,1620,0,0.73,4570,82,0.952,0
7615,0,49,"F","High School","Less than $40K",5,3,13704,2127,0.805,15872,116,0.681,0.155
3587,1,53,"F","High School","$40K - $60K",1,3,1714,0,0.661,2279,46,0.533,0
2015,0,54,"F","Graduate","Less than $40K",1,2,1740,0,0.811,4751,93,0.86,0
6021,0,45,"F","High School","Less than $40K",4,3,1438.3,0,0.71,3749,77,0.604,0
5897,0,59,"F","Graduate","Less than $40K",6,3,4830,1469,0.634,3365,63,0.75,0.304
345,1,34,"F","Graduate","Less than $40K",6,2,3116,0,0.698,2768,45,0.667,0
8245,0,29,"F","Unknown","Less than $40K",1,1,2763,1879,0.701,4660,80,0.778,0.68
4985,0,59,"M","Graduate","$40K - $60K",4,2,1638,0,0.533,1536,44,0.63,0
9275,1,39,"M","Graduate","$80K - $120K",1,3,3929,542,0.811,7773,64,0.73,0.138
4588,0,48,"F","Graduate","Less than $40K",5,3,2109,1205,0.514,2935,60,0.935,0.571
8905,0,40,"F","Uneducated","Less than $40K",1,2,4748,2085,0.615,7288,88,0.6,0.439
2360,0,36,"M","Graduate","$60K - $80K",3,3,2601,1817,0.663,2542,67,0.675,0.699
524,0,49,"F","Unknown","Less than $40K",5,3,1438.3,863,0.605,4482,67,0.914,0.6
9343,1,55,"F","Unknown","Less than $40K",4,2,1438.3,0,0.571,2244,54,0.929,0
7037,0,34,"F","College","Less than $40K",3,3,4274,2517,0.666,2257,54,0.8,0.589
9603,0,46,"F","Graduate","$40K - $60K",5,2,7457,0,0.717,3162,64,0.73,0
2660,0,46,"M","Unknown","$60K - $80K",2,1,30379,2175,0.67,9059,100,0.562,0.072
2991,1,49,"F","Post-Graduate","Less than $40K",5,1,2214,915,0.533,2144,51,0.545,0.413
1302,0,54,"F","Graduate","Less than $40K",6,2,1990,1747,0.924,5216,87,0.891,0.878
4204,0,40,"F","High School","Less than $40K",5,2,2222,1551,0.932,3302,65,0.585,0.698
6601,1,53,"F","High School","Unknown",4,3,7939,0,0.551,2269,42,0.312,0
6416,0,50,"F","Graduate","$40K - $60K",2,2,18386,0,0.868,1298,22,0.571,0
3978,0,48,"M","Unknown","$80K - $120K",1,2,34516,1723,0.628,13853,98,0.782,0.05
8202,0,53,"M","High School","$60K - $80K",5,1,3858,0,0.67,4472,92,0.614,0
1491,0,45,"M","Graduate","$60K - $80K",6,3,5065,1362,0.68,3555,75,0.471,0.269
8602,0,57,"F","Graduate","$40K - $60K",5,1,3377,1720,0.491,1621,32,0.391,0.509
2303,0,26,"F","Unknown","Less than $40K",4,2,2063,1390,0.877,2602,42,0.556,0.674
9560,0,48,"M","Post-Graduate","$60K - $80K",5,2,4734,954,0.6,1570,45,0.452,0.202
3062,0,45,"M","Post-Graduate","$40K - $60K",3,1,4409,1753,0.55,4292,76,0.652,0.398
2564,0,34,"M","Graduate","$60K - $80K",5,1,2763,1913,0.598,4136,69,0.568,0.692
201,0,41,"M","Unknown","$60K - $80K",5,3,1734,857,0.752,4741,84,0.714,0.494
7097,0,49,"F","Graduate","Unknown",6,3,2561,0,1.021,2047,41,0.864,0
7718,1,41,"F","College","Unknown",4,2,1438.3,1125,0.611,2534,52,0.486,0.782
703,1,30,"F","Uneducated","Less than $40K",6,1,1644,0,0.82,2533,44,0.517,0
